Bulk Edit Items,,,,,,,,,,
Barcode,Item Code,Item Name,Item Group,Warehouse,Quantity,Stock UOM,Valuation Rate,Amount,Quantity Difference,Amount Difference
barcode,item_code,item_name,item_group,warehouse,qty,stock_uom,valuation_rate,amount,quantity_difference,amount_difference
 , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,
------,,,,,,,,,,
,RM077,"PAKU A Y 2""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0725,BB 6 TJ SNI TP280,BB,GD. UTAMA - C,0,BTG,23500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0707,BB 10 LTS SNI TP280,BBF,GD. UTAMA - C,0,BTG,58830,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM067,BAUD DRILLING 12 x 70 LL,BAUD,GD. UTAMA - C,0,BIJI,347,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM03,BAUD DRILLING 12 x 70 LL,BAUD,GD. UTAMA - C,0,PAK,69400,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0281,BB 13 PSNI ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,91250,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM027,BB 10 IBS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,62160,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0245,BB 10 TJI SNI TP280,BB,GD. UTAMA - C,0,BTG,52540,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0225,BB 10 KSSG SNI TP280,BBF,GD. UTAMA - C,0,BTG,65860,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0207,BB 12 KSSG SNI TP280,BBF,GD. UTAMA - C,0,BTG,85065,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0205,BB 12 WBL SNI TP280,BBF,GD. UTAMA - C,0,BTG,89880,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM02,KAWAT BENDRAT @25KG,BK,GD. UTAMA - C,0,ROLL,307500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM018,BB 10 IBD SNI TP280,BBF,GD. UTAMA - C,0,BTG,58830,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM01012,BB 6 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,22500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0101,BB 10 IBS SNI TP280,BBF,GD. UTAMA - C,0,BTG,62160,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
